,Russian,English
0,Лосось на гриле с апельсиновым соусом и киноа,Grilled salmon with orange sauce and quinoa
1,Куриное филе с черным рисом и грибами шиитаке,Chicken fillet with black rice and shiitake mushrooms
2,Овощной рататуй с брокколи и перцем,Vegetable ratatouille with broccoli and peppers
3,Прошутто с дыней и вялеными томатами,Prosciutto with melon and sun-dried tomatoes
4,Тартар из говядины с кедровыми орехами и соусом тартар,Beef tartare with pine nuts and tartar sauce
5,Крем-суп из шампиньонов с трюфельным маслом, Champignon cream soup with truffle oil
6,Котлета из оленины с картофельным пюре и соусом из брусники,Venison cutlet with mashed potatoes and lingonberry sauce
7,Фаршированные перцы с рисом и морепродуктами,Stuffed peppers with rice and seafood
8,"Капуста, запеченная с чесночным соусом и сырами",Baked cabbage with garlic sauce and cheeses
9,"Паста с лососем, шпинатом и сливочным соусом","Pasta with salmon, spinach and creamy sauce"
10,Запеченные баклажаны с томатным соусом и фетой,Baked eggplants with tomato sauce and feta cheese
11,Полба с вялеными помидорами и заправкой из лимона,Spelt with sun-dried tomatoes and lemon dressing
12,Пельмени с олениной и черемшой в сливочном соусе,Dumplings with venison and wild garlic in creamy sauce
13,"Креветки с чесноком, зеленью и лимонным соусом","Shrimp with garlic, herbs and lemon sauce"
14,Каша из гречки с грибами и луком,Buckwheat porridge with mushrooms and onions
15,Печеный картофель с креветочной начинкой и соусом тартар,Baked potato stuffed with shrimp and tartar sauce
16,Лососевая икра с кукурузными чипсами,Salmon caviar with corn chips
17,"Салат с рукколой, грушей и грецкими орехами",Arugula salad with pear and walnuts
18,Куриные крылышки в медовом соусе с кунжутом,Chicken wings in honey sauce with sesame
19,Колбаса с вялеными яблоками и горчичным соусом,Sausage with dried apples and mustard sauce
20,Суп-пюре из цветной капусты с сыром и кедровыми орехами,Cauliflower purée soup with cheese and pine nuts
21,Брускетта с пастой из оливок и чира,Bruschetta with olive and broad whitefish paste
22,Каша из полбы с овощами и спаржей,Spelt porridge with vegetables and asparagus
23,"Салат с капустой, морковью и орехами пекан",Cabbage salad with carrots and pecans
24,Десерт из творога с малиновым соусом и орехами,Cottage cheese dessert with raspberry sauce and nuts
25,Тартар из камчатского краба с авокадо и малиновым соусом,King crab tartare with avocado and raspberry sauce
26,Тартар из дикого лосося с кедровыми орехами и соусом терияки,Wild salmon tartare with pine nuts and teriyaki sauce
27,Филе северного оленя с тыквенным пюре и брусникой,Northen reindeer fillet with pumpkin purée and cranberries
28,Сет из местных сыров с сушеной смородиной и грецким орехом,Local cheese board with dried currants and walnuts
29,Лосось с креветочным кремом и свежими огурцами,Salmon with shrimp cream and fresh cucumbers
30,Холодец из заливного осетра с пряными травами,Sturgeon aspic with spicy herbs
31,Фаршированные перцы с камчатским крабом и рисом,Stuffed bell peppers with king crab and rice
32,Салат из свежих овощей с сыром и кедровым урбечем,Fresh vegetable salad with cheese and cedar nut butter
33,Нерка в кляре с чесночным соусом и картофельным пюре,Sockeye salmon in batter with garlic sauce and mashed potatoes
34,Лапша с неркой и соусом из печеных перцев,Noodles with sockeye salmon and roasted pepper sauce
35,Фламбе из белого гриба с заварным кремом и кедровыми орехами, White mushrooms flambé with custard and pine nuts
36,Теплый салат с говядиной Black Angus и маринованными грибами, Warm salad with Black Angus beef and pickled mushrooms
37,Креп с неркой и сливочно-сырным соусом,Sockeye salmon crepe and creamy cheese sauce
38,Ризотто с свеклой и морской солью,Beetroot risotto with sea salt
39,Уха из северных рыб с картофельными клецками,Fish soup with northern fishes and potato dumplings
40,ГОленина с квашеной капустой и зелёным горошком,Reindeer with sauerkraut and green peas
41,Пита с хумусом и печеными овощами,Pita with hummus and roasted vegetables
42,"Ягодный десерт с брусникой, черной смородиной и брускеттами из ржаного хлеба","Berry dessert with cranberries, blackcurrant and rye bread bruschetta"
43,Медовое суфле с черемуховым джемом,Honey soufflé with bird cherry jam
44,Жареные овощи с ореховым соусом и кедровыми чипсами,Roasted vegetables with nut sauce and pine chips
45,Торт с брусничным кремом и миндальными лепестками,Cake with cranberry cream and almond flakes
46,Спагетти с кальмарами и томатным соусом,Spaghetti with squid and tomato sauce
47,Очарование из хлеба с мягким сыром и малиновым гелем,Bread delight with soft cheese and raspberry gel
48,Запеченная рыба с ореховым соусом и свежими зелеными листьями,Baked fish with nut sauce and fresh green leaves
49,Творожная запеканка с черемухой и йогуртовым соусом,Cottage cheese casserole with bird cherry and yogurt sauce
